,EACB ,EAPB ,EBF ,EFBS ,EMF ,ESBG,FEFSI,BaFin,ZKA,BF,BDB,HMT ,FSA,BBA,LIBA,ISDA,DTCB ,FBF,AFEI,MT ,BI ,ABI 
EACB ,,1,1,1,1,1,1,,1,,,,,,,,,,,,,
EAPB ,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,
EBF ,1,1,,1,1,1,1,,1,,,,,,,,,,,,,
EFBS ,1,1,1,,1,1,1,,1,,,,,,,,,,,,,
EMF ,1,1,1,1,,,1,,1,,,,,,,,,,,,,
ESBG,1,1,1,1,1,,1,,1,,,,,,,,,,,,,
FEFSI,1,1,1,1,1,1,,,,,,,,,,,,,,,,
BaFin,,1,,,,,,,1,1,1,,1,,,,,,,,,1
ZKA,1,,,,1,1,,1,,1,,,,,,,,,,,,
BF,,1,,,,,,1,1,,1,,,,,,,,,,,
BDB,,,1,,,,,1,1,1,,,,,,,,,,,,
HMT ,,,,,,,,,,,,,1,1,1,1,,,,,,
FSA,,,,,,,,,,,,1,,1,1,1,,,,,,
BBA,,1,1,,,,,,,,,1,1,,1,,,,,,,
LIBA,,,1,,,,,,,,,1,1,1,,,,,,,,
ISDA,,,,,,,,,,,,,,,,,,,,,,
DTCB ,,,,,,,,,,,,,,,,,,1,1,,,
FBF,,,1,,,,,,,,,,,,,,1,,,,,
AFEI,,,,,,,,,,,,,,,,,1,,,,,
MT ,,,,,,,,,,,,,,,,,,,,,1,1
BI ,,,,,,,,,,,,,,,,,,,,1,,1
ABI ,,,1,,,,,,,,,,,,,,,,,1,1,